Variety,Saint Paul,Waseca,Lamberton,Fergus Falls,Perley
Advance,,,,,
Albany,72.3,87.4,76.6,100.2,90
Breakaway,,,,,
Breaker,46.6,62.5,74.7,87.2,68.1
Brennan,55.9,56.9,77.4,72.1,62.3
Brick,47.3,66.6,69.4,71.7,68.1
Briggs,53,60.1,76.8,85.4,69.1
Cromwell,57,68.3,79,72.8,69.5
Edge,,,,,
Faller,71.8,72.8,82.2,96.8,75.6
Forefront,,,,,
Glenn,50.6,48.2,80,82.2,67.1
Jenna,72.9,67.4,80,79.5,71.7
Knudson,57.5,68.3,84.7,81.2,68.3
Marshall,52.1,52,67,69.3,67.5
Norden,,,,,
Powerplay,,,,,
Prosper,59.3,74.1,69.7,91.5,75.7
RB07,67.5,67.4,63.1,84.2,75.3
Rollag,48.7,65.4,65.4,77,71.4
Rollag (1.3x),,,,,
SY Soren,,,,,
Sabin,58.8,72.8,82.4,89,76.7
Samson,67.5,68.3,72.2,78.5,73
Select,64.6,62,76.3,82.1,72.3
Vantage,58.6,67.9,72.2,79.9,64.7
Velva,54.6,51.2,64.3,91.4,68.5
WB-Digger,48,57.4,73.8,85.2,66.8
WB-Mayville,,,,,
